"start";"end";"today";"username";"deviceid";"intervencion_id";"Tipo_carta";"id_operador";"ID_Carta";"Agencias_rda";"geo_ref_RDA";"_geo_ref_RDA_latitude";"_geo_ref_RDA_longitude";"_geo_ref_RDA_altitude";"_geo_ref_RDA_precision";"Punto_1";"Punto_4";"Punto_7";"__version__";"cartas_asociadas";"seguimiento_rda";"Enc_reactiva_1";"Enc_reactiva_1a";"Enc_reactiva_2";"Enc_reactiva_3";"Enc_reactiva_4";"Enc_reactiva_5";"Enc_reactiva_6";"op_frio_1";"Punto_2";"Punto_3";"Punto_5";"Punto_6";"_index"
"2024-08-08T15:53:13.713-03:00";"2024-08-08T15:55:38.614-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"de5729d3";"1";"101";"1105960";"1";"";"";"";"";"";"1";"2";"3";"";"";"";"quintana_manuel_pres";"0";"recoleta";"1";"1";"";"";"2";"2";"2";"2";"2";"27"
"2024-08-08T16:03:01.144-03:00";"2024-08-08T16:04:04.839-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"8ad0c770";"1";"133";"1105768";"1";"";"";"";"";"";"";"";"";"";"";"";"charcas";"4600";"";"14";"3";"2";"2";"";"";"";"";"";"28"
"2024-08-08T16:06:23.874-03:00";"2024-08-08T16:07:58.475-03:00";"2024-08-08";"laparicio";"collect:LIrbEA8kk24qA8f2";"9e6df646";"1";"113";"1105829";"1";"-34.6240547 -58.3859355 41.89999771118164 4.842";"-34.6240547";"-58.3859355";"41.89999771118164";"4.842";"";"";"";"";"";"";"san_jose";"0";"constitucion";"1";"3";"2";"2";"";"";"";"";"";"29"
"2024-08-08T16:02:14.588-03:00";"2024-08-08T16:10:38.669-03:00";"2024-08-08";"getchebehere";"collect:j12UvRTHA7s2D74i";"d6d9797b";"1";"173";"1105780";"1";"";"";"";"";"";"5";"2";"1";"";"";"";"finochietto_enrique_dr";"849";"barracas";"4";"1";"";"";"2";"1";"2";"2";"2";"30"
"2024-08-08T16:05:12.038-03:00";"2024-08-08T16:11:45.451-03:00";"2024-08-08";"dsalazar";"collect:zlst1IxMGpUv8iis";"109067ba";"1";"256";"1105852";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"agrelo";"0";"boedo";"5";"1";"";"";"2";"1";"1";"2";"1";"31"
"2024-08-08T16:17:13.238-03:00";"2024-08-08T16:18:18.721-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"11053370";"1";"101";"1105940";"1";"-34.6008095 -58.3767541 34.19999694824219 3.85";"-34.6008095";"-58.3767541";"34.19999694824219";"3.85";"";"";"";"";"";"";"maipu";"629";"san_nicolas";"1";"3";"2";"2";"";"";"";"";"";"32"
"2024-08-08T16:19:13.863-03:00";"2024-08-08T16:24:29.212-03:00";"2024-08-08";"csalvador";"collect:xYfZLEUg9mW2JjM4";"a538f80b";"1";"257";"1105346";"1";"";"";"";"";"";"";"";"";"";"";"";"pino_virrey_del";"2540";"belgrano";"13";"3";"2";"1";"Virrey del Pino 2540 siendo las 14:05 el equipo arriba al punto indicado, la dirección corresponde a un edificio, no se contacta a personas en situación vulnerable ni tampoco se observan pertenencias. 
Una vecina refiere que por las noches un hombre duerme allí por las noches.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33"
"2024-08-08T16:25:49.744-03:00";"2024-08-08T16:27:07.791-03:00";"2024-08-08";"csalvador";"collect:xYfZLEUg9mW2JjM4";"0213544d";"1";"257";"1105759";"1";"";"";"";"";"";"";"";"";"";"";"";"ciudad_de_la_paz";"0";"belgrano";"13";"3";"2";"1";"José Hernández y Ciudad de la paz siendo la 14:20, se arriba al punto en dónde no se contactan personas ni tampoco se observan pertenencias.
Una vecina se acerca al equipo y refiere que hay muchas personas en situación de calle pero que generalmente se los puede contactar a la noche, durante el día difícilmente se encuentran ya que es una zona muy transitada se deja a disposición la línea del 108.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"34"
"2024-08-08T16:27:28.128-03:00";"2024-08-08T16:29:14.190-03:00";"2024-08-08";"csalvador";"collect:xYfZLEUg9mW2JjM4";"d2edc663";"1";"257";"1105783";"1";"";"";"";"";"";"";"";"";"";"";"";"alvarez_julian";"0";"villa_crespo";"15";"3";"2";"1";"Julián Álvarez y Velazco
Siendo la 14:55 el equipo arriba al punto indicado en dónde no se contactan personas en situación vulnerable ni tampoco se observan pertenencias. Se recorre la zona si éxito de contacto.
Un hombre que diariamente transita la zona refiere que hace uno días se encontraba una mujer con 2 menores de edad, pero desconoce el paradero de la mujer y los niños, refiere que estuvieron varios días en el punto, pero ya no los vio. Se deja a disposición la línea del 108 en caso de que vuelvan por la zona.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35"
"2024-08-08T16:29:29.416-03:00";"2024-08-08T16:30:52.340-03:00";"2024-08-08";"csalvador";"collect:xYfZLEUg9mW2JjM4";"fcf98722";"1";"257";"1105963";"1";"";"";"";"";"";"";"";"";"";"";"";"beiro_francisco_av";"2211";"agronomia";"15";"3";"2";"2";"Beiro 2211 siendo las 15:40 
El equipo arriba al punto indicado en dónde no se contactan personas en situación vulnerable ni tampoco se observan pertenencias.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"36"
"2024-08-08T16:31:02.477-03:00";"2024-08-08T16:32:02.716-03:00";"2024-08-08";"csalvador";"collect:xYfZLEUg9mW2JjM4";"59a01f18";"1";"257";"1105999";"1";"";"";"";"";"";"";"";"";"";"";"";"holmberg";"1800";"saavedra";"12";"Beiro 2211 siendo las 15:40 
El equipo arriba al punto indicado en dónde no se contactan personas en situación vulnerable ni tampoco se observan pertenencias.";"3";"2";"2";"Beiro 2211 siendo las 15:40 
El equipo arriba al punto indicado en dónde no se contactan personas en situación vulnerable ni tampoco se observan pertenencias.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37"
"2024-08-08T16:31:11.773-03:00";"2024-08-08T16:32:13.525-03:00";"2024-08-08";"mbenitez";"collect:WXGrpocOojXhiCAS";"7c01fe4c";"1";"133";"1105559";"1";"";"";"";"";"";"";"";"";"";"";"";"salguero_jeronimo";"1940";"";"14";"3";"2";"2";"";"";"";"";"";"38"
"2024-08-08T16:31:09.532-03:00";"2024-08-08T16:34:51.322-03:00";"2024-08-08";"getchebehere";"collect:j12UvRTHA7s2D74i";"90543f56";"1";"173";"1105975";"1";"";"";"";"";"";"1";"2";"1";"";"";"";"peru";"900";"san_telmo";"1";"1";"";"";"2";"1";"2";"2";"2";"39"
"2024-08-08T16:37:03.374-03:00";"2024-08-08T16:39:11.541-03:00";"2024-08-08";"labalo";"collect:iUpiKxTXmsRWkN3u";"970dd580";"1";"101";"1106018";"1";"";"";"";"";"";"1";"2";"3";"";"";"";"cordoba_av";"0";"montserrat";"1";"1";"";"";"2";"2";"2";"2";"2";"40"
"2024-08-08T16:39:29.890-03:00";"2024-08-08T16:42:01.157-03:00";"2024-08-08";"dsalazar";"collect:zlst1IxMGpUv8iis";"0df45503";"1";"256";"1105939";"1";"";"";"";"";"";"";"";"";"";"";"";"echague_pedro";"0";"barracas";"1";"3";"2";"2";"";"";"";"";"";"41"
